ID,Area,Mean,Perim.,Feret,IntDen,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,
216,0.49,11172.414,2.542,0.99,5475.6,100,324000,1,786,854,23.199,0.78,
218,0.794,17248.596,3.062,1.163,13700.56,100,810684,1,729,853,116.565,0.91,
219,0.186,5914.364,1.547,0.581,1099.48,100,65058,1,323,857,116.565,0.52,
220,0.811,10700.333,3.246,1.338,8680.11,100,513616,1,434,869,60.945,0.91,
221,0.338,7956.55,1.991,0.758,2689.314,100,159131,1,564,863,120.964,0.65,
222,0.22,5652.692,1.547,0.65,1241.897,100,73485,1,880,863,126.87,0.52,
223,0.71,12502,2.878,1.118,8873.92,100,525084,1,112,871,35.538,0.91,
224,0.186,4729.455,1.439,0.65,879.206,100,52024,1,921,869,143.13,0.39,
225,0.321,7910.895,1.991,0.832,2540.188,100,150307,1,566,876,51.34,0.643,
226,0.27,5864.562,1.807,0.758,1585.778,100,93833,1,370,882,30.964,0.52,
228,0.693,13506.366,2.955,1.163,9358.561,100,553761,1,212,881,153.435,0.78,
229,0.101,4628.5,1.103,0.469,469.33,100,27771,1,338,884,33.69,0.368,
230,0.913,18013.778,3.354,1.28,16439.374,100,972744,1,618,888,113.962,1.04,
232,0.203,6312.667,1.547,0.65,1280.209,100,75752,1,185,908,53.13,0.52,
233,0.439,6483.962,2.358,1.103,2849.053,100,168583,1,780,905,135,0.643,
234,0.304,6624.611,1.883,0.832,2015.207,100,119243,1,994,907,141.34,0.52,
235,1.082,16498.297,3.798,1.406,17844.558,100,1055891,1,382,918,33.69,1.103,
236,0.676,16708.5,2.91,1.111,11294.946,100,668340,1,548,910,110.556,0.91,
237,0.338,5374.9,2.143,0.919,1816.716,100,107498,1,934,915,45,0.631,
238,0.135,4679.5,1.179,0.552,632.668,100,37436,1,710,911,135,0.39,
239,0.101,4756.333,1.179,0.469,482.292,100,28538,1,526,915,123.69,0.39,
240,0.254,7480.733,1.731,0.7,1896.366,100,112211,1,218,921,21.801,0.52,
