MUC1,CD63,EpCAM,MUC1_CD63,MUC1_EpCAM,CD63_EpCAM,ALL,MUC1intensity,CD63intensity,EpCAMintensity,group
0.733153639,0.684636119,0.25606469,0.444743935,0.202156334,0.202156334,0.175202156,2656.34095,2410.356017,4458.45535,TNBC
0.382010582,0.825396825,0.227513228,0.239153439,0.135449735,0.157671958,0.097354497,2994.2688,2560.152479,3941.599793,LuminalB
0.396226415,0.782522344,0.262164846,0.224428997,0.144985104,0.161866931,0.090367428,2557.34395,2271.2074,2911.8062,LuminalB
0.797850351,0.13559322,0.236047954,0.057461761,0.09177346,0.04588673,0.025630426,12230.92602,6837.729916,18781.35281,breast.nodule
0.349272349,0.803534304,0.276507277,0.219334719,0.136174636,0.174636175,0.100831601,2732.829083,2647.55685,3715.378508,TNBC
0.749726776,0.152459016,0.196721311,0.019125683,0.027322404,0.060655738,0.008196721,11584.65675,10246.19581,23403.33672,breast.nodule
0.618421053,0.359133127,0.249226006,0.072755418,0.068111455,0.11377709,0.027863777,9771.454444,7616.047949,27142.69407,breast.nodule
0.483471074,0.821280992,0.226239669,0.327479339,0.171487603,0.166322314,0.134297521,3130.160825,2278.752888,4092.949131,LuminalB
0.756944444,0.214285714,0.154761905,0.006944444,0.087301587,0.032738095,0.000992063,11789.80538,6687.534748,21575.57319,breast.nodule
0.53875969,0.354005168,0.321705426,0.054263566,0.055555556,0.144702842,0.04005168,6882.467633,9788.216051,21815.31367,breast.nodule
0.715328467,0.266666667,0.15863747,0.054501217,0.058880779,0.057420925,0.030170316,7414.35883,8928.732,18324.67823,breast.nodule
0.714114114,0.618618619,0.234834835,0.35975976,0.172372372,0.157357357,0.121921922,3744.366979,2112.04565,4111.684136,LuminalB
0.642594296,0.228610856,0.212971481,0.018859246,0.016559338,0.055197792,0.006439742,7831.252651,6849.324093,19871.01732,breast.nodule
0.725992678,0.229231202,0.104759223,0.025908195,0.022528865,0.01745987,0.005913827,5167.462833,6466.226271,26991.1914,breast.nodule
0.933033996,0.053495831,0.056831302,0.016292495,0.020269403,0.011545863,0.004746632,9450.839792,14554.59846,24686.1491,breast.nodule
0.76166726,0.24795155,0.108656929,0.037762736,0.053437834,0.046669042,0.019593872,11079.82387,16698.84769,24842.46707,breast.nodule
0.794964029,0.259646828,0.080771746,0.06147809,0.051667757,0.059516024,0.037279267,6017.731456,14447.93037,26085.79091,breast.nodule
0.447993448,0.325143325,0.382473382,0.075348075,0.060606061,0.035217035,0.015561016,12040.61879,2639.160432,6820.958663,ovarian
0.449146251,0.333333333,0.436525612,0.063845583,0.086859688,0.121752042,0.053452116,8276.300633,11427.95615,28677.71218,ovarian
0.344322344,0.384615385,0.441391941,0.06959707,0.093406593,0.058608059,0.051282051,8661.440521,4967.136716,9210.126602,ovarian
0.554638174,0.279261778,0.385624089,0.031568723,0.058280719,0.151529869,0.02185527,15555.06159,15382.83175,28752.9454,ovarian
0.314399601,0.334329846,0.431988042,0.032884903,0.019930244,0.034379671,0.006477329,10789.98882,8085.1384,17079.93928,ovarian
0.650246305,0.36453202,0.221674877,0.068965517,0.068965517,0.128078818,0.02955665,12142.64294,10819.07255,16653.22959,ovarian
0.393852065,0.296829971,0.560999039,0.052833814,0.108549472,0.134486071,0.04418828,6249.50797,8419.712921,20807.89643,ovarian
0.714222024,0.249219795,0.169861792,0.074453856,0.057066429,0.005795809,0.004012483,11429.88635,2056.25425,10693.02638,cervix
0.370820669,0.556231003,0.121580547,0.018237082,0.024316109,0.018237082,0.012158055,7837.359408,2697.908138,8598.5524,cervix
0.741249142,0.226492793,0.299245024,0.07618394,0.187371311,0.025394647,0.021962938,6624.460485,4288.908469,5986.119123,cervix
0.694444444,0.243197279,0.23015873,0.057823129,0.087868481,0.04478458,0.022675737,13885.78593,6407.9781,10959.01255,cervix
0.659745479,0.193904889,0.213663764,0.020763563,0.045210985,0.003348962,0.002009377,11294.60892,7279.261878,10542.19408,cervix
0.431438127,0.264214047,0.357190635,0.012040134,0.039464883,0.004013378,0.002675585,10251.43155,5594.788192,7983.278881,cervix
0.171794872,0.384615385,0.565384615,0.047435897,0.055128205,0.05,0.030769231,15876.39013,3166.247976,12337.54213,cervix
0.319796954,0.920050761,0.131345178,0.244923858,0.098350254,0.111675127,0.083756345,3215.263514,1460.636514,2417.349643,Healthy
0.354041916,0.887724551,0.128742515,0.250748503,0.097305389,0.106287425,0.083832335,2944.550786,1318.706086,2389.687429,Healthy
